times,absv
2015-03-11 15:50:00,2.62
2015-03-11 15:51:00,2.63
2015-03-11 15:52:00,2.52
2015-03-11 15:53:00,2.59
2015-03-11 15:54:00,2.67
2015-03-11 15:55:00,2.67
2015-03-11 15:56:00,2.55
2015-03-11 15:57:00,2.63
2015-03-11 15:58:00,2.66
2015-03-11 15:59:00,2.64
2015-03-11 16:00:00,2.61
2015-03-11 16:01:00,2.47
2015-03-11 16:02:00,2.67
2015-03-11 16:03:00,2.76
2015-03-11 16:04:00,2.67
2015-03-11 16:05:00,2.63
2015-03-11 16:06:00,2.71
2015-03-11 16:07:00,2.65
2015-03-11 16:08:00,2.64
2015-03-11 16:09:00,2.65
2015-03-11 16:10:00,2.58
2015-03-11 16:11:00,2.62
2015-03-11 16:12:00,2.66
2015-03-11 16:13:00,2.69
2015-03-11 16:14:00,2.65
2015-03-11 16:15:00,2.56
2015-03-11 16:16:00,2.65
2015-03-11 16:17:00,2.68
2015-03-11 16:18:00,2.69
2015-03-11 16:19:00,2.69
2015-03-11 16:20:00,2.75
2015-03-11 16:21:00,2.78
2015-03-11 16:22:00,2.73
2015-03-11 16:23:00,2.85
2015-03-11 16:24:00,2.82
2015-03-11 16:25:00,2.8
2015-03-11 16:26:00,2.75
2015-03-11 16:27:00,2.82
2015-03-11 16:28:00,2.84
2015-03-11 16:29:00,2.81
2015-03-11 16:30:00,2.78
2015-03-11 16:31:00,2.77
2015-03-11 16:32:00,2.76
2015-03-11 16:33:00,2.75
2015-03-11 16:34:00,2.7
2015-03-11 16:35:00,2.7
2015-03-11 16:36:00,2.67
2015-03-11 16:37:00,2.65
2015-03-11 16:38:00,2.68
2015-03-11 16:39:00,2.71
2015-03-11 16:40:00,2.7
2015-03-11 16:41:00,2.66
2015-03-11 16:42:00,2.69
2015-03-11 16:43:00,2.6
2015-03-11 16:44:00,2.57
2015-03-11 16:45:00,2.65
2015-03-11 16:46:00,2.66
2015-03-11 16:47:00,2.64
2015-03-11 16:48:00,2.74
2015-03-11 16:49:00,2.57
2015-03-11 16:50:00,2.67
2015-03-11 16:51:00,2.63
2015-03-11 16:52:00,2.58
2015-03-11 16:53:00,2.57
2015-03-11 16:54:00,2.5
2015-03-11 16:55:00,2.57
2015-03-11 16:56:00,2.66
2015-03-11 16:57:00,2.75
2015-03-11 16:58:00,2.62
2015-03-11 16:59:00,2.66
2015-03-11 17:00:00,2.6
2015-03-11 17:01:00,2.64
2015-03-11 17:02:00,2.59
2015-03-11 17:03:00,2.61
2015-03-11 17:04:00,2.64
2015-03-11 17:05:00,2.71
2015-03-11 17:06:00,2.73
2015-03-11 17:07:00,2.82
2015-03-11 17:08:00,2.83
2015-03-11 17:09:00,2.79
2015-03-11 17:10:00,2.72
2015-03-11 17:11:00,2.64
2015-03-11 17:12:00,2.65
2015-03-11 17:13:00,2.66
2015-03-11 17:14:00,2.55
2015-03-11 17:15:00,2.66
2015-03-11 17:16:00,2.73
2015-03-11 17:17:00,2.73
2015-03-11 17:18:00,2.77
2015-03-11 17:19:00,2.77
