alpha_run_0,alpha_run_1,alpha_run_2,alpha_run_3,alpha_run_4,alpha_run_5,alpha_run_6,alpha_run_7,alpha_run_8,alpha_run_9,alpha_run_10,alpha_run_11,alpha_run_12,alpha_run_13,alpha_run_14,alpha_run_15,alpha_run_16,alpha_run_17,alpha_run_18,alpha_run_19,alpha_run_20,alpha_run_21,alpha_run_22,alpha_run_23,alpha_run_24,alpha_run_25,alpha_run_26,alpha_run_27,alpha_run_28,alpha_run_29,alpha_run_30,alpha_run_31,alpha_run_32,alpha_run_33,alpha_run_34,alpha_run_35,alpha_run_36,alpha_run_37,alpha_run_38,alpha_run_39,alpha_run_40,alpha_run_41,alpha_run_42,alpha_run_43,alpha_run_44,alpha_run_45,alpha_run_46,alpha_run_47,alpha_run_48,alpha_run_49,alpha_run_50,alpha_run_51,alpha_run_52,alpha_run_53,alpha_run_54,alpha_run_55,alpha_run_56,alpha_run_57,alpha_run_58,alpha_run_59,alpha_run_60,alpha_run_61,alpha_run_62,alpha_run_63,alpha_run_64,alpha_run_65,alpha_run_66,alpha_run_67,alpha_run_68,alpha_run_69,alpha_run_70,alpha_run_71,alpha_run_72,alpha_run_73,alpha_run_74,alpha_run_75,alpha_run_76,alpha_run_77,alpha_run_78,alpha_run_79,alpha_run_80,alpha_run_81,alpha_run_82,alpha_run_83,alpha_run_84,alpha_run_85,alpha_run_86,alpha_run_87,alpha_run_88,alpha_run_89,alpha_run_90,alpha_run_91,alpha_run_92,alpha_run_93,alpha_run_94,alpha_run_95,alpha_run_96,alpha_run_97,alpha_run_98,alpha_run_99
1.46971266932e-13,1.44964448788e-13,1.44884230434e-13,1.433267509e-13,1.41429111536e-13,1.40147791742e-13,1.38791916906e-13,1.36894555451e-13,1.3612369343e-13,1.3359869301e-13,1.3311470457e-13,1.31330412996e-13,1.29897028446e-13,1.28957708825e-13,1.26900003024e-13,1.25445046688e-13,1.24118959884e-13,1.22822329708e-13,1.21075050605e-13,1.20569677199e-13,1.1839252859e-13,1.16927945898e-13,1.16055119446e-13,1.13801481674e-13,1.13444075368e-13,1.11847523464e-13,1.10110294289e-13,1.08999068153e-13,1.07771276929e-13,1.05881170867e-13,1.03972497812e-13,1.03573939344e-13,1.01577765627e-13,9.99923889895e-14,9.90445558708e-14,9.76901832842e-14,9.59819067833e-14,9.51302257946e-14,9.32729812743e-14,9.23194199503e-14,9.06303843731e-14,8.91932772362e-14,8.78090581907e-14,8.56241970735e-14,8.47297465374e-14,8.36564050624e-14,8.12211398569e-14,7.99554373054e-14,7.85024658151e-14,7.78813256696e-14,7.6260699938e-14,7.45398931399e-14,7.38071626153e-14,7.16686359855e-14,7.08072413754e-14,6.92264627576e-14,6.69450757093e-14,6.59226999271e-14,6.51453630069e-14,6.31650104536e-14,6.25453523427e-14,5.98547594924e-14,5.91630788663e-14,5.79176363666e-14,5.59225330439e-14,5.47827367181e-14,5.40085521662e-14,5.18984797564e-14,4.9933106015e-14,4.92533174572e-14,4.75841611303e-14,4.58663811993e-14,4.53975012651e-14,4.32188496345e-14,4.18343249969e-14,4.11221817277e-14,3.92217361338e-14,3.76948115279e-14,3.573004956e-14,3.50831812909e-14,3.30749168889e-14,3.16367866988e-14,3.0773609333e-14,2.94500010655e-14,2.7732698058e-14,2.66109645166e-14,2.44071034748e-14,2.4078851394e-14,2.26167257314e-14,2.04152895402e-14,1.90287125702e-14,1.75985983276e-14,1.68637865962e-14,1.49694796494e-14,1.31001003483e-14,1.17838863068e-14,1.02131958941e-14,9.52251194429e-15,8.60151900189e-15,6.48240628479e-15
1.55607662991e-13,1.54602504259e-13,1.52422706942e-13,1.51208396111e-13,1.49811763308e-13,1.48505252187e-13,1.47111378181e-13,1.45773305513e-13,1.44095513999e-13,1.42236190152e-13,1.41018696068e-13,1.38739842423e-13,1.38603247547e-13,1.36262698361e-13,1.35177777793e-13,1.3336693744e-13,1.32180525711e-13,1.30130169128e-13,1.28549765719e-13,1.27178465913e-13,1.25918004505e-13,1.24837886155e-13,1.22195900382e-13,1.21164219519e-13,1.19163074234e-13,1.1803198874e-13,1.16226502638e-13,1.15494288261e-13,1.13133766865e-13,1.13024157067e-13,1.11381810246e-13,1.0932032105e-13,1.07671129319e-13,1.05865118207e-13,1.04095597437e-13,1.027608451e-13,1.01571762378e-13,9.97325963151e-14,9.91759926827e-14,9.78863719533e-14,9.63192171906e-14,9.44413563552e-14,9.29463916616e-14,9.18887510177e-14,8.9733197647e-14,8.76364468921e-14,8.6454114688e-14,8.45451215941e-14,8.31166544482e-14,8.17024505458e-14,8.00775761013e-14,7.99214695129e-14,7.84489537442e-14,7.62253991889e-14,7.44571772185e-14,7.2708142285e-14,7.10892268413e-14,7.0858476512e-14,6.91835982987e-14,6.66333893671e-14,6.59933619633e-14,6.41070075623e-14,6.28212077901e-14,6.05312052628e-14,5.93935246014e-14,5.84877412389e-14,5.67982035777e-14,5.48588473407e-14,5.43751067002e-14,5.21142315411e-14,5.11914151715e-14,4.84315433141e-14,4.70506961856e-14,4.65075525898e-14,4.4579908517e-14,4.33780116826e-14,4.18137752709e-14,3.9871529229e-14,3.80204830272e-14,3.70695485953e-14,3.49429121135e-14,3.47001015712e-14,3.316799941e-14,3.12366897495e-14,3.02285559414e-14,2.83468495032e-14,2.7170211902e-14,2.57926641706e-14,2.41668299893e-14,2.21265929619e-14,1.99142697977e-14,1.92564508894e-14,1.75118722008e-14,1.6674069963e-14,1.45089930985e-14,1.30984786924e-14,1.10928660969e-14,1.00368274515e-14,9.04043291986e-15,7.59472030097e-15
1.27474245465e-13,1.26010781981e-13,1.24796607598e-13,1.2434709622e-13,1.23269543082e-13,1.21203098758e-13,1.20129079387e-13,1.1902607484e-13,1.1735862973e-13,1.16228353483e-13,1.1582846191e-13,1.14284425586e-13,1.12425347207e-13,1.11486063962e-13,1.09982234876e-13,1.08576223537e-13,1.07761468073e-13,1.06488634942e-13,1.05937050672e-13,1.04677135264e-13,1.02709906598e-13,1.01726460651e-13,1.00269870209e-13,9.92467440512e-14,9.77648711905e-14,9.69793253199e-14,9.49944317583e-14,9.42583952329e-14,9.29054526519e-14,9.22654199244e-14,9.06530853161e-14,8.96213242855e-14,8.7644140271e-14,8.72505140867e-14,8.60812176526e-14,8.43750090709e-14,8.34509812785e-14,8.14762451767e-14,8.12798366953e-14,7.93848301813e-14,7.89130030633e-14,7.75273124573e-14,7.57961495932e-14,7.46499148465e-14,7.33976933311e-14,7.21574284031e-14,7.07347629657e-14,6.98011234423e-14,6.81303518501e-14,6.78622908436e-14,6.65497958809e-14,6.54223250635e-14,6.40685121677e-14,6.17619436719e-14,6.11121661778e-14,5.93795142978e-14,5.89221341595e-14,5.71568709297e-14,5.62723854536e-14,5.4437251336e-14,5.41761272858e-14,5.27945081407e-14,5.1596140434e-14,4.96096246113e-14,4.86740783283e-14,4.81720648362e-14,4.69484789001e-14,4.49204347507e-14,4.3659371927e-14,4.24316058912e-14,4.08479325945e-14,3.96918912624e-14,3.90436980713e-14,3.83135168921e-14,3.67566679122e-14,3.50631038212e-14,3.41077338694e-14,3.29498041557e-14,3.12668219909e-14,3.00254577383e-14,2.85356768781e-14,2.79025753735e-14,2.67218190812e-14,2.52271368398e-14,2.38103707961e-14,2.35549105319e-14,2.12935257998e-14,2.04922473613e-14,1.95729190871e-14,1.84794966852e-14,1.74017624141e-14,1.55897778805e-14,1.4831168389e-14,1.26592690573e-14,1.21849998635e-14,1.07357916453e-14,9.22045883451e-15,7.86344047476e-15,7.21596674072e-15,5.15833082899e-15
1.03901741444e-13,1.02915071174e-13,1.01570330611e-13,1.00492770411e-13,9.98179856574e-14,9.93741999247e-14,9.79920998846e-14,9.71840986879e-14,9.63291193056e-14,9.53844875269e-14,9.37267364738e-14,9.27491641944e-14,9.24109678453e-14,9.08391763033e-14,9.00126955579e-14,8.87618407348e-14,8.79749419744e-14,8.69695833522e-14,8.5477498828e-14,8.4546464588e-14,8.35253391207e-14,8.33368756531e-14,8.23567337694e-14,8.07944532371e-14,7.98914713661e-14,7.92004646146e-14,7.81603688225e-14,7.65418563521e-14,7.61563584257e-14,7.49439137635e-14,7.42346199699e-14,7.24213704222e-14,7.20687046006e-14,7.07709452145e-14,6.94043543486e-14,6.93402636241e-14,6.82135643763e-14,6.63847022138e-14,6.62918595302e-14,6.50966992034e-14,6.40376141279e-14,6.25466499228e-14,6.20610651492e-14,6.10242833964e-14,5.96459872364e-14,5.88683730835e-14,5.79952114139e-14,5.6728534654e-14,5.61585686113e-14,5.43541384075e-14,5.33651548299e-14,5.28803543707e-14,5.16874556286e-14,5.12394244839e-14,4.98769686346e-14,4.92533700574e-14,4.730210855e-14,4.64099958287e-14,4.59861054827e-14,4.45359015273e-14,4.38673787137e-14,4.26894608298e-14,4.17733564682e-14,4.1229065993e-14,3.95627380503e-14,3.85602284128e-14,3.79262460241e-14,3.63156563357e-14,3.5448502204e-14,3.51705461833e-14,3.33848346717e-14,3.32201428352e-14,3.13432438494e-14,3.11907642971e-14,2.92475103451e-14,2.91820887028e-14,2.7904376208e-14,2.62380858612e-14,2.55372269486e-14,2.42733289946e-14,2.38310765988e-14,2.26466048625e-14,2.12439450703e-14,2.0878203798e-14,1.95659650036e-14,1.8479203699e-14,1.81864789748e-14,1.63679925277e-14,1.61440164361e-14,1.50075074905e-14,1.33068299523e-14,1.2824833373e-14,1.20392605553e-14,1.04752715956e-14,9.31436496035e-15,8.85442219072e-15,7.94317968108e-15,6.33951320114e-15,6.10776465895e-15,4.24554486762e-15
8.7481715717e-14,8.65167044068e-14,8.53272323422e-14,8.48691514577e-14,8.39497959129e-14,8.30604403187e-14,8.19459897499e-14,8.18021341952e-14,8.03863314405e-14,8.00111997074e-14,7.89286347931e-14,7.84520306285e-14,7.7148344108e-14,7.66885471034e-14,7.52904136914e-14,7.48327359903e-14,7.42326603678e-14,7.27476288096e-14,7.20581044327e-14,7.11363622612e-14,7.01512707238e-14,6.99619812524e-14,6.91484960601e-14,6.78284426541e-14,6.74090986526e-14,6.67368024648e-14,6.53552154596e-14,6.45407132954e-14,6.34289766349e-14,6.30690763176e-14,6.19368477791e-14,6.10527249306e-14,6.06517546528e-14,5.99576499033e-14,5.83745058139e-14,5.80322662525e-14,5.67885641534e-14,5.58741076068e-14,5.51834497605e-14,5.45974344829e-14,5.3887769844e-14,5.32176106081e-14,5.21095707937e-14,5.10920244287e-14,5.05017017702e-14,4.91487467501e-14,4.84111210293e-14,4.74827455328e-14,4.68324484145e-14,4.6219849294e-14,4.49430617282e-14,4.47756036629e-14,4.31682078396e-14,4.24860336683e-14,4.18355024834e-14,4.12638275155e-14,4.04064126517e-14,3.95437495381e-14,3.82225793655e-14,3.74970554321e-14,3.71330106236e-14,3.56442693394e-14,3.52954828762e-14,3.45000736216e-14,3.36979019211e-14,3.30208022917e-14,3.1659497671e-14,3.13386629824e-14,3.00677914336e-14,2.94623752392e-14,2.83872589836e-14,2.7820549046e-14,2.6989557199e-14,2.6229913408e-14,2.51327466809e-14,2.40828445181e-14,2.29332832139e-14,2.26116667044e-14,2.17822376507e-14,2.11229628148e-14,2.00579205414e-14,1.93316917163e-14,1.83348395109e-14,1.7246990747e-14,1.63931322669e-14,1.60697932499e-14,1.48680445734e-14,1.41611454551e-14,1.3577285696e-14,1.24242375199e-14,1.16150639272e-14,1.07951317069e-14,1.0220121387e-14,8.6014247131e-15,8.25946092631e-15,6.98719346161e-15,6.70404634109e-15,5.92604712742e-15,4.84196788895e-15,4.0264282733e-15
6.45727021587e-14,6.37744676791e-14,6.3229569755e-14,6.28456398907e-14,6.20957038776e-14,6.14384395947e-14,6.11693427629e-14,6.05403809372e-14,5.99255206213e-14,5.92867233693e-14,5.85723913551e-14,5.76673462469e-14,5.73219792011e-14,5.62723431406e-14,5.58802915448e-14,5.52408566869e-14,5.48092800241e-14,5.41423001724e-14,5.31247605361e-14,5.27690558453e-14,5.19664549571e-14,5.18649567758e-14,5.08650875031e-14,5.04343981581e-14,4.98465542432e-14,4.93394994179e-14,4.85934303224e-14,4.75895866198e-14,4.70542677243e-14,4.65972223945e-14,4.60155707308e-14,4.5171862867e-14,4.49525279497e-14,4.40884044004e-14,4.32690414398e-14,4.30513857302e-14,4.24016046526e-14,4.14134354684e-14,4.12653658995e-14,4.03010607966e-14,3.97404378343e-14,3.89664340618e-14,3.86545156573e-14,3.75552041339e-14,3.74495212507e-14,3.66200729945e-14,3.58856157031e-14,3.53734028048e-14,3.47863078334e-14,3.41885702807e-14,3.35040152315e-14,3.30063883485e-14,3.19220316362e-14,3.17361161032e-14,3.11131906497e-14,3.04510834647e-14,2.99786516029e-14,2.91845039011e-14,2.86488857362e-14,2.7569631597e-14,2.7172821682e-14,2.66721776755e-14,2.60694319793e-14,2.54000686538e-14,2.48414474636e-14,2.41983569563e-14,2.36329827068e-14,2.27795910131e-14,2.23512085894e-14,2.16798267306e-14,2.07366641105e-14,2.04454986033e-14,1.96520794017e-14,1.88744835055e-14,1.85233558451e-14,1.78952253598e-14,1.74861642561e-14,1.64956448381e-14,1.62297466958e-14,1.56313567278e-14,1.49821386078e-14,1.4345138689e-14,1.32921601971e-14,1.28043367954e-14,1.22443598507e-14,1.15773141369e-14,1.10795893892e-14,1.05689622266e-14,9.55009570028e-15,9.1309514369e-15,8.28878147404e-15,8.05017114926e-15,6.98363983158e-15,6.64873749294e-15,6.34075457297e-15,5.12837656405e-15,4.99051122626e-15,4.20403222754e-15,3.7794266243e-15,3.07172651197e-15
5.1932985621e-14,5.16158432147e-14,5.09197040752e-14,5.05176360384e-14,4.96769317858e-14,4.95434386051e-14,4.90435326487e-14,4.83188511266e-14,4.76579150978e-14,4.74978637894e-14,4.68835001513e-14,4.64999155802e-14,4.57760676088e-14,4.54196321609e-14,4.47013805383e-14,4.46325609182e-14,4.38561517814e-14,4.34226304078e-14,4.30653678583e-14,4.24356704424e-14,4.21330061478e-14,4.12408384918e-14,4.08485560344e-14,4.04375180637e-14,4.01071786386e-14,3.92954269711e-14,3.91245726781e-14,3.84973004371e-14,3.80064537141e-14,3.74939346997e-14,3.68491886438e-14,3.61791563502e-14,3.61227270334e-14,3.51409002643e-14,3.48139930132e-14,3.41374105743e-14,3.38723163929e-14,3.34608610241e-14,3.27411947304e-14,3.2195490298e-14,3.17835823366e-14,3.12351524947e-14,3.08941227853e-14,3.03004832084e-14,2.99264375129e-14,2.92598129446e-14,2.90015462396e-14,2.81444895665e-14,2.80889971919e-14,2.7611560171e-14,2.69555093289e-14,2.65076891004e-14,2.59129586761e-14,2.5496227176e-14,2.47626823459e-14,2.42077550843e-14,2.36390124352e-14,2.34270613047e-14,2.28622702924e-14,2.21152801189e-14,2.19208201927e-14,2.1335413538e-14,2.08483254899e-14,2.05581142782e-14,1.97712699476e-14,1.9343558873e-14,1.90035043252e-14,1.83072655627e-14,1.77112560796e-14,1.72944795275e-14,1.68348306657e-14,1.61285188191e-14,1.58841362035e-14,1.52334685633e-14,1.49138667105e-14,1.4460391645e-14,1.40534533261e-14,1.32820472687e-14,1.30692401419e-14,1.23047031484e-14,1.17563605939e-14,1.11682623017e-14,1.10392248709e-14,1.03974562513e-14,1.00413289048e-14,9.24390773835e-15,8.83288283967e-15,8.55434166041e-15,8.01283384307e-15,7.4183903713e-15,6.74683303972e-15,6.34370897643e-15,6.08942881583e-15,5.44030162264e-15,4.96603588701e-15,4.09278231543e-15,3.62673494044e-15,3.16607867248e-15,2.80291868716e-15,2.46137823898e-15
4.23830873547e-14,4.2302914887e-14,4.16079588106e-14,4.12001514172e-14,4.08276860367e-14,4.06441977569e-14,4.02205169701e-14,3.98196169004e-14,3.92736046987e-14,3.90068191437e-14,3.86066005864e-14,3.81595818354e-14,3.74294973944e-14,3.70666214081e-14,3.67193801739e-14,3.64694343124e-14,3.59403180338e-14,3.54063785736e-14,3.5005753766e-14,3.49232483734e-14,3.43935111222e-14,3.40389551994e-14,3.36228317987e-14,3.32239518811e-14,3.27213981882e-14,3.23030947552e-14,3.17676650769e-14,3.13409946081e-14,3.11705735287e-14,3.06069128235e-14,3.03621164402e-14,2.99927060147e-14,2.92350803572e-14,2.88464499546e-14,2.84369689013e-14,2.81890589428e-14,2.78829291182e-14,2.75313125237e-14,2.70938992186e-14,2.64454413702e-14,2.60479443656e-14,2.56039907162e-14,2.54943322948e-14,2.50877373518e-14,2.42993584675e-14,2.41177113657e-14,2.38051930751e-14,2.32244026615e-14,2.28762757329e-14,2.25638860701e-14,2.21339966486e-14,2.17152143528e-14,2.1341855706e-14,2.07264538154e-14,2.04176952001e-14,1.9773120906e-14,1.96713731453e-14,1.90494797487e-14,1.8559556879e-14,1.83505701506e-14,1.77581443878e-14,1.76037278436e-14,1.69967832457e-14,1.67514182755e-14,1.61232086445e-14,1.56952214285e-14,1.56157731069e-14,1.50112522286e-14,1.48025670421e-14,1.40680829335e-14,1.36427761502e-14,1.34881724807e-14,1.31695211639e-14,1.24219629284e-14,1.19781395963e-14,1.18718949664e-14,1.14184217512e-14,1.08152856315e-14,1.06392903353e-14,1.00222689498e-14,9.64825340972e-15,9.48336939951e-15,8.98568118825e-15,8.50941912348e-15,8.10999561923e-15,7.60531699018e-15,7.30560287708e-15,7.01003474241e-15,6.40496594856e-15,5.90355137061e-15,5.408673516e-15,5.12370161882e-15,4.91980294269e-15,4.35718945857e-15,4.04170837659e-15,3.60730631457e-15,3.23084012015e-15,2.60542202241e-15,2.42955977776e-15,1.92197316493e-15
