dt,A_AVG,A_NUM_PTS,A_QUAL_FLAG,B_AVG,B_NUM_PTS,B_QUAL_FLAG
2015-03-11 00:55:00,1.40064003062e-07,29.0,0.0,2.42661008087e-06,29.0,0.0
2015-03-11 00:56:00,1.2731300103e-07,30.0,0.0,2.32062006944e-06,30.0,0.0
2015-03-11 00:57:00,1.12701997068e-07,29.0,0.0,2.2009201075e-06,29.0,0.0
2015-03-11 00:58:00,1.02826000159e-07,29.0,0.0,2.09607992474e-06,29.0,0.0
2015-03-11 00:59:00,9.26804020196e-08,29.0,0.0,1.9818301098e-06,29.0,0.0
2015-03-11 01:00:00,7.99115014161e-08,30.0,0.0,1.84853001883e-06,30.0,0.0
2015-03-11 01:01:00,6.70478002007e-08,29.0,0.0,1.70268003785e-06,29.0,0.0
2015-03-11 01:02:00,5.19833989188e-08,29.0,0.0,1.55514999278e-06,29.0,0.0
2015-03-11 01:03:00,4.23912993597e-08,30.0,0.0,1.42967996908e-06,30.0,0.0
2015-03-11 01:04:00,3.76874993435e-08,29.0,0.0,1.32023001242e-06,29.0,0.0
2015-03-11 01:05:00,3.31144001109e-08,29.0,0.0,1.22081996778e-06,29.0,0.0
2015-03-11 01:06:00,2.62688004682e-08,30.0,0.0,1.13971998417e-06,30.0,0.0
2015-03-11 01:07:00,2.62739003887e-08,29.0,0.0,1.0909300272e-06,29.0,0.0
2015-03-11 01:08:00,3.24994999801e-08,29.0,0.0,1.11526003366e-06,29.0,0.0
2015-03-11 01:09:00,2.06247001699e-08,29.0,0.0,1.04950004243e-06,29.0,0.0
2015-03-11 01:10:00,1.56442006016e-08,30.0,0.0,9.83990958048e-07,30.0,0.0
2015-03-11 01:11:00,1.25929000561e-08,29.0,0.0,9.27470011902e-07,29.0,0.0
2015-03-11 01:12:00,1.30541000232e-08,29.0,0.0,8.99970984847e-07,29.0,0.0
2015-03-11 01:13:00,1.3415299982e-08,30.0,0.0,8.74426007158e-07,30.0,0.0
2015-03-11 01:14:00,1.13632001586e-08,29.0,0.0,8.38822984406e-07,29.0,0.0
2015-03-11 01:15:00,9.05740016321e-09,29.0,0.0,8.0716301909e-07,29.0,0.0
2015-03-11 01:16:00,5.76268988084e-09,30.0,0.0,7.69146993207e-07,30.0,0.0
2015-03-11 01:17:00,1.37458000538e-08,29.0,0.0,7.98117014256e-07,29.0,0.0
2015-03-11 01:18:00,5.00810983795e-08,24.0,0.0,9.93499952529e-07,24.0,0.0
2015-03-11 01:19:00,7.31197005166e-08,29.0,0.0,1.14855004085e-06,29.0,0.0
2015-03-11 01:20:00,6.16714999069e-08,30.0,0.0,1.14374995519e-06,30.0,0.0
2015-03-11 01:21:00,4.41821015329e-08,29.0,0.0,1.08078995709e-06,29.0,0.0
2015-03-11 01:22:00,3.39598003052e-08,29.0,0.0,9.91694946606e-07,29.0,0.0
2015-03-11 01:23:00,2.17738005404e-08,30.0,0.0,9.01446014723e-07,30.0,0.0
2015-03-11 01:24:00,1.266980032e-08,29.0,0.0,8.15485009298e-07,29.0,0.0
2015-03-11 01:25:00,9.28798016275e-09,29.0,0.0,7.4836600561e-07,29.0,0.0
2015-03-11 01:26:00,5.42835021378e-09,30.0,0.0,6.97706980191e-07,30.0,0.0
2015-03-11 01:27:00,4.94542007345e-09,29.0,0.0,6.69487974392e-07,29.0,0.0
2015-03-11 01:28:00,4.75327022187e-09,29.0,0.0,6.50130004942e-07,29.0,0.0
2015-03-11 01:29:00,7.36649008459e-09,29.0,0.0,6.31948012142e-07,29.0,0.0
2015-03-11 01:30:00,5.24260990176e-09,30.0,0.0,6.23381993137e-07,30.0,0.0
2015-03-11 01:31:00,3.56195006823e-09,29.0,0.0,6.08067011854e-07,29.0,0.0
2015-03-11 01:32:00,2.44748998846e-09,29.0,0.0,5.99021973358e-07,29.0,0.0
2015-03-11 01:33:00,3.32795990765e-09,30.0,0.0,5.84557994898e-07,30.0,0.0
2015-03-11 01:34:00,3.9846801414e-09,29.0,0.0,5.91422974594e-07,29.0,0.0
2015-03-11 01:35:00,2.63655008936e-09,29.0,0.0,5.97484017817e-07,29.0,0.0
2015-03-11 01:36:00,4.71484007392e-09,29.0,0.0,6.10510028309e-07,29.0,0.0
2015-03-11 01:37:00,4.38818981152e-09,30.0,0.0,5.9566298205e-07,30.0,0.0
2015-03-11 01:38:00,4.11764000674e-09,29.0,0.0,5.81563995183e-07,29.0,0.0
2015-03-11 01:39:00,3.4965799145e-09,29.0,0.0,5.67904976378e-07,29.0,0.0
2015-03-11 01:40:00,3.19943005422e-09,30.0,0.0,5.56139013952e-07,30.0,0.0
2015-03-11 01:41:00,2.15463002995e-09,29.0,0.0,5.47100000858e-07,29.0,0.0
2015-03-11 01:42:00,3.21608006892e-09,29.0,0.0,5.4456700127e-07,29.0,0.0
2015-03-11 01:43:00,1.56702995024e-09,30.0,0.0,5.51855009689e-07,30.0,0.0
2015-03-11 01:44:00,4.15607015469e-09,29.0,0.0,5.48366017483e-07,29.0,0.0
2015-03-11 01:45:00,2.34368990881e-09,29.0,0.0,5.46556975678e-07,29.0,0.0
2015-03-11 01:46:00,3.82787002096e-09,29.0,0.0,5.67723986933e-07,29.0,0.0
2015-03-11 01:47:00,5.65125013452e-09,30.0,0.0,5.95488018007e-07,30.0,0.0
2015-03-11 01:48:00,2.67498001527e-09,29.0,0.0,5.863579986e-07,29.0,0.0
2015-03-11 01:49:00,1.46820999802e-09,29.0,0.0,5.713420137e-07,29.0,0.0
2015-03-11 01:50:00,2.93341995139e-09,30.0,0.0,5.6418400618e-07,30.0,0.0
2015-03-11 01:51:00,2.73417000152e-09,29.0,0.0,5.52346023142e-07,29.0,0.0
2015-03-11 01:52:00,2.54201992789e-09,29.0,0.0,5.49271021555e-07,29.0,0.0
2015-03-11 01:53:00,2.60504995353e-09,30.0,0.0,5.45909017546e-07,30.0,0.0
2015-03-11 01:54:00,3.75410014186e-09,29.0,0.0,5.4402397609e-07,29.0,0.0
2015-03-11 01:55:00,4.79169992573e-09,29.0,0.0,5.53521999791e-07,29.0,0.0
2015-03-11 01:56:00,3.40513994779e-09,29.0,0.0,5.60305977615e-07,29.0,0.0
2015-03-11 01:57:00,3.12512993261e-09,30.0,0.0,5.54827977339e-07,30.0,0.0
2015-03-11 01:58:00,1.37589994953e-09,29.0,0.0,5.44928980162e-07,29.0,0.0
2015-03-11 01:59:00,1.20141996351e-09,29.0,0.0,5.40044027275e-07,29.0,0.0
2015-03-11 02:00:00,1.08026998458e-09,30.0,0.0,5.40399980764e-07,30.0,0.0
2015-03-11 02:01:00,9.99999971718e-10,29.0,0.0,5.43933992958e-07,29.0,0.0
2015-03-11 02:02:00,9.99999971718e-10,29.0,0.0,5.40586995612e-07,29.0,0.0
2015-03-11 02:03:00,9.99999971718e-10,30.0,0.0,5.32092997219e-07,30.0,0.0
2015-03-11 02:04:00,1.14222997727e-09,29.0,0.0,5.39862980986e-07,29.0,0.0
2015-03-11 02:05:00,1.08303999102e-09,29.0,0.0,5.47822992303e-07,29.0,0.0
2015-03-11 02:06:00,1.42890999033e-09,29.0,0.0,5.42939005754e-07,29.0,0.0
2015-03-11 02:07:00,1.13748999109e-09,30.0,0.0,5.43197984371e-07,30.0,0.0
2015-03-11 02:08:00,9.99999971718e-10,29.0,0.0,5.36154004749e-07,29.0,0.0
2015-03-11 02:09:00,1.02076003206e-09,29.0,0.0,5.39320012649e-07,29.0,0.0
2015-03-11 02:10:00,1.40052003328e-09,30.0,0.0,5.44246972822e-07,30.0,0.0
2015-03-11 02:11:00,1.08303999102e-09,29.0,0.0,5.49180015241e-07,29.0,0.0
2015-03-11 02:12:00,1.57732005235e-09,29.0,0.0,5.52616995719e-07,29.0,0.0
2015-03-11 02:13:00,4.09997014117e-09,29.0,0.0,5.85363011396e-07,29.0,0.0
2015-03-11 02:14:00,3.15809991491e-08,30.0,0.0,7.40291000056e-07,30.0,0.0
2015-03-11 02:15:00,1.08975001467e-07,29.0,0.0,1.17395995858e-06,29.0,0.0
2015-03-11 02:16:00,2.07393000551e-07,29.0,0.0,1.68622000274e-06,29.0,0.0
2015-03-11 02:17:00,2.89467010361e-07,30.0,0.0,2.14959004552e-06,30.0,0.0
2015-03-11 02:18:00,3.37438990528e-07,29.0,0.0,2.54022006629e-06,29.0,0.0
2015-03-11 02:19:00,3.54233009148e-07,29.0,0.0,2.81205007013e-06,29.0,0.0
2015-03-11 02:20:00,2.76391006082e-07,30.0,0.0,2.71550993602e-06,30.0,0.0
2015-03-11 02:21:00,2.07699997645e-07,29.0,0.0,2.48314995588e-06,29.0,0.0
2015-03-11 02:22:00,1.52631002948e-07,29.0,0.0,2.20942001761e-06,29.0,0.0
2015-03-11 02:23:00,1.06746000483e-07,29.0,0.0,1.92773995877e-06,29.0,0.0
2015-03-11 02:24:00,7.79426017061e-08,30.0,0.0,1.68386998212e-06,30.0,0.0
2015-03-11 02:25:00,6.65866011218e-08,29.0,0.0,1.53280996074e-06,29.0,0.0
2015-03-11 02:26:00,6.43960973434e-08,29.0,0.0,1.45818000874e-06,29.0,0.0
2015-03-11 02:27:00,6.51263007967e-08,30.0,0.0,1.41332998282e-06,30.0,0.0
2015-03-11 02:28:00,5.79784007471e-08,29.0,0.0,1.35741004215e-06,29.0,0.0
2015-03-11 02:29:00,4.28371009775e-08,29.0,0.0,1.23664995044e-06,29.0,0.0
2015-03-11 02:30:00,3.59646001868e-08,30.0,0.0,1.13377996058e-06,30.0,0.0
2015-03-11 02:31:00,3.05012015644e-08,29.0,0.0,1.06686002255e-06,29.0,0.0
2015-03-11 02:32:00,2.64275996642e-08,29.0,0.0,1.00572003703e-06,29.0,0.0
2015-03-11 02:33:00,2.58512002915e-08,29.0,0.0,9.64737978393e-07,29.0,0.0
2015-03-11 02:34:00,2.40027002718e-08,30.0,0.0,9.22519006963e-07,30.0,0.0
2015-03-11 02:35:00,2.00483007973e-08,29.0,0.0,8.70211010806e-07,29.0,0.0
2015-03-11 02:36:00,1.77425008019e-08,29.0,0.0,8.25524978154e-07,29.0,0.0
2015-03-11 02:37:00,1.48641001729e-08,30.0,0.0,7.90395006334e-07,30.0,0.0
2015-03-11 02:38:00,1.45144003483e-08,29.0,0.0,7.66637981542e-07,29.0,0.0
2015-03-11 02:39:00,1.63205999826e-08,29.0,0.0,7.66276002651e-07,29.0,0.0
2015-03-11 02:40:00,3.54073996789e-08,30.0,0.0,8.50117999107e-07,30.0,0.0
2015-03-11 02:41:00,4.24912016683e-08,29.0,0.0,9.13991982543e-07,29.0,0.0
2015-03-11 02:42:00,4.56040005758e-08,29.0,0.0,9.67723963186e-07,29.0,0.0
2015-03-11 02:43:00,6.12833019886e-08,29.0,0.0,1.07889002265e-06,29.0,0.0
2015-03-11 02:44:00,8.11003033618e-08,30.0,0.0,1.22174003536e-06,30.0,0.0
2015-03-11 02:45:00,5.95540008419e-08,29.0,0.0,1.17207002859e-06,29.0,0.0
2015-03-11 02:46:00,4.17611012438e-08,29.0,0.0,1.07852997644e-06,29.0,0.0
2015-03-11 02:47:00,3.1803899958e-08,30.0,0.0,1.01100999927e-06,30.0,0.0
2015-03-11 02:48:00,2.20081997071e-08,29.0,0.0,9.4013398666e-07,29.0,0.0
2015-03-11 02:49:00,1.92027993506e-08,29.0,0.0,8.7346802502e-07,29.0,0.0
2015-03-11 02:50:00,3.69958002011e-08,29.0,0.0,9.29913028358e-07,29.0,0.0
2015-03-11 02:51:00,3.66332990609e-08,30.0,0.0,9.72361021923e-07,30.0,0.0
2015-03-11 02:52:00,2.91560997567e-08,29.0,0.0,9.32536011078e-07,29.0,0.0
2015-03-11 02:53:00,2.58895997973e-08,29.0,0.0,9.0178099299e-07,29.0,0.0
2015-03-11 02:54:00,4.04596001147e-08,30.0,0.0,9.63092020356e-07,30.0,0.0
2015-03-11 02:55:00,4.76792010318e-08,29.0,0.0,1.00715999451e-06,29.0,0.0
2015-03-11 02:56:00,7.15056032163e-08,29.0,0.0,1.0898399978e-06,29.0,0.0
2015-03-11 02:57:00,7.32989988705e-08,30.0,0.0,1.13744999908e-06,30.0,0.0
2015-03-11 02:58:00,5.33668007563e-08,29.0,0.0,1.08087999706e-06,29.0,0.0
2015-03-11 02:59:00,4.74487009683e-08,29.0,0.0,1.03963998299e-06,29.0,0.0
2015-03-11 03:00:00,4.55272015643e-08,29.0,0.0,1.01594002899e-06,29.0,0.0
2015-03-11 03:01:00,3.96422983329e-08,30.0,0.0,9.80493041425e-07,30.0,0.0
2015-03-11 03:02:00,3.27685008017e-08,29.0,0.0,9.42485996802e-07,29.0,0.0
2015-03-11 03:03:00,2.37375008538e-08,29.0,0.0,8.79890023953e-07,29.0,0.0
2015-03-11 03:04:00,1.82074995081e-08,30.0,0.0,8.35865023419e-07,30.0,0.0
2015-03-11 03:05:00,1.35151996261e-08,29.0,0.0,7.83191978826e-07,29.0,0.0
2015-03-11 03:06:00,8.40408986846e-09,29.0,0.0,7.39681979667e-07,29.0,0.0
2015-03-11 03:07:00,6.98859992099e-09,30.0,0.0,7.0645097594e-07,30.0,0.0
2015-03-11 03:08:00,2.63655008936e-09,29.0,0.0,6.80703976741e-07,29.0,0.0
2015-03-11 03:09:00,4.34822000628e-09,29.0,0.0,6.72744022268e-07,29.0,0.0
2015-03-11 03:10:00,5.44501022048e-09,29.0,0.0,6.69667997499e-07,29.0,0.0
2015-03-11 03:11:00,4.53679005474e-09,30.0,0.0,6.67977019475e-07,30.0,0.0
2015-03-11 03:12:00,5.21443022095e-09,29.0,0.0,6.63698017433e-07,29.0,0.0
2015-03-11 03:13:00,5.86772985756e-09,29.0,0.0,6.61618003051e-07,29.0,0.0
2015-03-11 03:14:00,4.20244994359e-09,30.0,0.0,6.46028979645e-07,30.0,0.0
2015-03-11 03:15:00,4.63797977801e-09,29.0,0.0,6.35204003174e-07,29.0,0.0
2015-03-11 03:16:00,4.86856022164e-09,29.0,0.0,6.26882012966e-07,29.0,0.0
2015-03-11 03:17:00,4.64822980106e-09,30.0,0.0,6.22770016889e-07,30.0,0.0
2015-03-11 03:18:00,4.63797977801e-09,29.0,0.0,6.15847000063e-07,29.0,0.0
2015-03-11 03:19:00,4.79169992573e-09,29.0,0.0,6.15847000063e-07,29.0,0.0
2015-03-11 03:20:00,6.48261000435e-09,29.0,0.0,6.30771978649e-07,29.0,0.0
2015-03-11 03:21:00,6.35706998153e-09,30.0,0.0,6.34050024928e-07,30.0,0.0
2015-03-11 03:22:00,5.13756992504e-09,29.0,0.0,6.26610983545e-07,29.0,0.0
2015-03-11 03:23:00,4.29211999275e-09,29.0,0.0,6.18832018517e-07,29.0,0.0
2015-03-11 03:24:00,4.01669986161e-09,30.0,0.0,6.0790500811e-07,30.0,0.0
2015-03-11 03:25:00,2.75184008913e-09,29.0,0.0,6.02096974944e-07,29.0,0.0
2015-03-11 03:26:00,2.61888000175e-09,29.0,0.0,6.02096974944e-07,29.0,0.0
2015-03-11 03:27:00,2.64186006405e-09,29.0,0.0,5.9648897377e-07,29.0,0.0
2015-03-11 03:28:00,1.32622002269e-09,30.0,0.0,5.82021982609e-07,30.0,0.0
2015-03-11 03:29:00,1.63960001132e-09,29.0,0.0,5.68446978377e-07,29.0,0.0
2015-03-11 03:30:00,2.96166002833e-09,29.0,0.0,5.58587998967e-07,29.0,0.0
2015-03-11 03:31:00,1.72459002634e-09,30.0,0.0,5.5124201026e-07,30.0,0.0
2015-03-11 03:32:00,1.78800996231e-09,29.0,0.0,5.47280023966e-07,29.0,0.0
2015-03-11 03:33:00,1.79332004802e-09,29.0,0.0,5.40314999853e-07,29.0,0.0
2015-03-11 03:34:00,9.99999971718e-10,30.0,0.0,5.29732005816e-07,30.0,0.0
2015-03-11 03:35:00,1.14222997727e-09,29.0,0.0,5.30093984707e-07,29.0,0.0
2015-03-11 03:36:00,1.41519995722e-09,29.0,0.0,5.3651598364e-07,29.0,0.0
2015-03-11 03:37:00,1.02076003206e-09,29.0,0.0,5.3968199154e-07,29.0,0.0
2015-03-11 03:38:00,9.99999971718e-10,30.0,0.0,5.34453988621e-07,30.0,0.0
2015-03-11 03:39:00,1.06228004171e-09,29.0,0.0,5.26022972736e-07,29.0,0.0
2015-03-11 03:40:00,1.04151998137e-09,29.0,0.0,5.20324022091e-07,29.0,0.0
2015-03-11 03:41:00,9.99999971718e-10,30.0,0.0,5.19414015798e-07,30.0,0.0
2015-03-11 03:42:00,1.12456000068e-09,29.0,0.0,5.10283996391e-07,29.0,0.0
2015-03-11 03:43:00,9.99999971718e-10,29.0,0.0,5.04765978349e-07,29.0,0.0
2015-03-11 03:44:00,1.88130000467e-09,30.0,0.0,5.02887019138e-07,30.0,0.0
2015-03-11 03:45:00,1.25751997704e-09,29.0,0.0,5.11187977281e-07,29.0,0.0
2015-03-11 03:46:00,1.89402005191e-09,29.0,0.0,5.28284999746e-07,29.0,0.0
2015-03-11 03:47:00,2.38830000221e-09,29.0,0.0,5.46466026208e-07,29.0,0.0
2015-03-11 03:48:00,4.27673985115e-09,30.0,0.0,5.55963993065e-07,30.0,0.0
2015-03-11 03:49:00,1.92405003041e-09,29.0,0.0,5.46466026208e-07,29.0,0.0
2015-03-11 03:50:00,1.14531994999e-09,29.0,0.0,5.38325025445e-07,29.0,0.0
2015-03-11 03:51:00,1.06020003887e-09,30.0,0.0,5.33928982804e-07,30.0,0.0
2015-03-11 03:52:00,1.16608001033e-09,29.0,0.0,5.43933992958e-07,29.0,0.0
2015-03-11 03:53:00,1.12456000068e-09,29.0,0.0,5.4402397609e-07,29.0,0.0
2015-03-11 03:54:00,1.32906996519e-09,29.0,0.0,5.51622008516e-07,29.0,0.0
2015-03-11 03:55:00,2.64220001434e-09,30.0,0.0,5.56401971608e-07,30.0,0.0
2015-03-11 03:56:00,4.48426007438e-09,29.0,0.0,5.62206025734e-07,29.0,0.0
2015-03-11 03:57:00,7.44334993641e-09,29.0,0.0,5.87080990044e-07,29.0,0.0
2015-03-11 03:58:00,9.92335014161e-09,30.0,0.0,6.13501015323e-07,30.0,0.0
2015-03-11 03:59:00,8.94211016345e-09,29.0,0.0,6.0879102648e-07,29.0,0.0
2015-03-11 04:00:00,6.05988015323e-09,29.0,0.0,5.99384009092e-07,29.0,0.0
2015-03-11 04:01:00,5.16830978015e-09,30.0,0.0,5.90591014316e-07,30.0,0.0
2015-03-11 04:02:00,4.63797977801e-09,29.0,0.0,5.79030995596e-07,29.0,0.0
2015-03-11 04:03:00,3.0239399873e-09,29.0,0.0,5.66548010283e-07,29.0,0.0
2015-03-11 04:04:00,2.87022006162e-09,29.0,0.0,5.60035005037e-07,29.0,0.0
2015-03-11 04:05:00,3.97955002285e-09,30.0,0.0,5.52554013211e-07,30.0,0.0
2015-03-11 04:06:00,1.88563009651e-09,29.0,0.0,5.531600209e-07,29.0,0.0
2015-03-11 04:07:00,3.75101016914e-09,29.0,0.0,5.6528102732e-07,29.0,0.0
2015-03-11 04:08:00,6.91429979938e-09,30.0,0.0,5.94264008669e-07,30.0,0.0
2015-03-11 04:09:00,5.5218700723e-09,29.0,0.0,5.99926011091e-07,29.0,0.0
2015-03-11 04:10:00,2.94707991344e-09,29.0,0.0,5.84368024192e-07,29.0,0.0
2015-03-11 04:11:00,2.48763010191e-09,30.0,0.0,5.7301497236e-07,30.0,0.0
2015-03-11 04:12:00,4.56111992619e-09,29.0,0.0,6.06981984674e-07,29.0,0.0
2015-03-11 04:13:00,3.06236991321e-09,29.0,0.0,6.06076980603e-07,29.0,0.0
2015-03-11 04:14:00,1.61044000357e-09,29.0,0.0,5.74326975311e-07,29.0,0.0
2015-03-11 04:15:00,3.11916004136e-09,30.0,0.0,5.52903998141e-07,30.0,0.0
2015-03-11 04:16:00,2.03316008474e-09,29.0,0.0,5.48094988062e-07,29.0,0.0
2015-03-11 04:17:00,1.45893996883e-09,29.0,0.0,5.36245011062e-07,29.0,0.0
2015-03-11 04:18:00,1.12040998701e-09,30.0,0.0,5.2474797485e-07,30.0,0.0
2015-03-11 04:19:00,1.31980004703e-09,29.0,0.0,5.19058005466e-07,29.0,0.0
2015-03-11 04:20:00,1.19832999079e-09,29.0,0.0,5.13539987423e-07,29.0,0.0
2015-03-11 04:21:00,1.1003400413e-09,30.0,0.0,5.13205009156e-07,30.0,0.0
2015-03-11 04:22:00,1.30831001588e-09,29.0,0.0,4.97710004765e-07,29.0,0.0
2015-03-11 04:23:00,9.99999971718e-10,29.0,0.0,4.8576998779e-07,29.0,0.0
2015-03-11 04:24:00,9.99999971718e-10,29.0,0.0,4.85860027766e-07,29.0,0.0
2015-03-11 04:25:00,1.32322997004e-09,30.0,0.0,4.97902988172e-07,30.0,0.0
2015-03-11 04:26:00,7.59706964004e-09,29.0,0.0,5.87533975249e-07,29.0,0.0
2015-03-11 04:27:00,2.58045007584e-09,29.0,0.0,5.60305977615e-07,29.0,0.0
2015-03-11 04:28:00,3.27372995379e-09,30.0,0.0,5.70653980958e-07,30.0,0.0
2015-03-11 04:29:00,4.86856022164e-09,29.0,0.0,5.64829008454e-07,29.0,0.0
2015-03-11 04:30:00,2.80794010266e-09,29.0,0.0,5.55874009933e-07,29.0,0.0
